Time,q1,q2,q3,q4,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyro_x,gyro_y,gyro_z
1733193771809.9712,-0.2962646484375,0.24285888671875,-0.59991455078125,0.702392578125,-0.75,-9.49,2.36,-46.25,14.5,5.0625,0.14508049407202864,0.0,0.006544984694978736
1733193771937.654,-0.29681396484375,0.24346923828125,-0.6005859375,0.70135498046875,-1.23,-9.52,1.43,-47.0,14.5,5.375,0.031634092692397225,-0.011999138607461015,-0.014180800172453928
1733193772065.55,-0.2969970703125,0.24261474609375,-0.60052490234375,0.70166015625,-1.6600000000000001,-10.92,2.86,-46.25,13.375,5.75,0.020725784867432664,-0.01090830782496456,0.20616701789183017
1733193772191.9119,-0.29632568359375,0.240966796875,-0.6046142578125,0.698974609375,-2.4,-11.15,0.88,-46.25,14.5,4.25,-0.20289452554434081,-0.015271630954950384,0.02181661564992912
1733193772320.188,-0.29718017578125,0.2410888671875,-0.60296630859375,0.699951171875,-0.67,-11.15,2.06,-45.875,14.75,5.375,0.05235987755982989,-0.04363323129985824,0.15271630954950383
1733193772445.8088,-0.29766845703125,0.24285888671875,-0.60369873046875,0.69854736328125,-0.98,-10.1,0.42,-46.5625,14.5,5.0625,-0.013089969389957472,-0.06326818538479445,0.07308566242726255
1733193772574.2559,-0.298828125,0.24005126953125,-0.601806640625,0.70062255859375,-0.85,-10.16,3.5,-47.0,14.5,5.375,-0.1832595714594046,-0.0272707695624114,0.044724062082354694
1733193772701.9949,-0.29656982421875,0.24420166015625,-0.60382080078125,0.69842529296875,1.32,-8.35,2.06,-45.5,14.75,6.5625,-0.459239759431008,-0.039269908169872414,-0.17780541754692233
1733193772830.044,-0.29571533203125,0.243896484375,-0.60516357421875,0.69775390625,1.35,-10.49,0.14,-46.25,14.5,5.375,-0.09708393964218458,-0.05235987755982989,-0.1439896632895322
1733193772949.0818,-0.2979736328125,0.24249267578125,-0.604736328125,0.6976318359375,-0.08,-9.950000000000001,2.32,-46.5625,15.1875,5.375,-0.044724062082354694,-0.02181661564992912,-0.061086523819801536
1733193773070.477,-0.29608154296875,0.2452392578125,-0.60662841796875,0.69586181640625,2.29,-9.99,0.17,-47.25,14.75,5.0625,-0.08290313946973066,-0.016362461737446838,-0.032724923474893676
1733193773198.148,-0.2987060546875,0.24310302734375,-0.60772705078125,0.6944580078125,-1.9000000000000001,-10.290000000000001,0.76,-46.25,14.5,6.1875,-0.09490227807719166,-0.04799655442984406,0.15707963267948966
1733193773327.413,-0.29901123046875,0.24505615234375,-0.6044921875,0.696533203125,2.16,-10.49,2.59,-46.5625,14.75,5.0625,0.03599741582238305,0.00545415391248228,-0.05345070834232634
1733193773450.495,-0.30084228515625,0.2430419921875,-0.60748291015625,0.69378662109375,-3.02,-10.34,-0.15,-46.5625,14.5,6.1875,-0.11126473981463851,-0.03381575425739013,-0.019634954084936207
1733193773570.7878,-0.30023193359375,0.24591064453125,-0.60302734375,0.69696044921875,2.32,-10.02,1.86,-47.0,15.1875,4.6875,-0.0719948316447661,0.011999138607461015,-0.016362461737446838
1733193773692.879,-0.30145263671875,0.245849609375,-0.6021728515625,0.69720458984375,0.73,-9.84,2.19,-46.25,14.75,5.75,0.009817477042468103,-0.05126904677733343,0.13199052468207118
1733193773815.66,-0.3033447265625,0.24578857421875,-0.60308837890625,0.69561767578125,-0.64,-11.46,1.02,-45.875,15.1875,5.75,-0.06326818538479445,-0.009817477042468103,0.002181661564992912
1733193773938.3882,-0.3038330078125,0.24755859375,-0.59979248046875,0.69757080078125,1.31,-10.65,2.21,-46.25,14.75,6.1875,-0.00545415391248228,-0.03381575425739013,-0.17889624832941878
1733193774057.248,-0.30364990234375,0.2459716796875,-0.60137939453125,0.69683837890625,1.12,-9.450000000000001,1.33,-45.875,14.5,6.1875,-0.08290313946973066,0.022907446432425576,0.21598449493429828
1733193774184.36,-0.30743408203125,0.2452392578125,-0.60089111328125,0.6959228515625,-2.19,-9.21,2.58,-44.0,15.1875,6.1875,-0.10471975511965978,-0.12217304763960307,-0.06544984694978735
1733193774309.261,-0.30694580078125,0.2496337890625,-0.59857177734375,0.696533203125,0.64,-10.17,1.44,-44.75,14.75,5.375,-0.08399397025222712,-0.07090400086226964,-0.07090400086226964
1733193774430.563,-0.30902099609375,0.248046875,-0.59716796875,0.6973876953125,-0.88,-10.42,3.56,-46.25,14.75,6.1875,0.15271630954950383,0.038179077387375956,-0.11999138607461016
1733193774553.659,-0.30987548828125,0.24896240234375,-0.598876953125,0.6951904296875,-1.1,-10.49,1.21,-46.5625,14.5,5.375,0.08072147790473774,0.01090830782496456,-0.15817046346198613
1733193774676.124,-0.30926513671875,0.25091552734375,-0.5992431640625,0.6944580078125,-0.8200000000000001,-9.68,-0.01,-45.5,15.5625,6.1875,-0.10471975511965978,-0.02181661564992912,-0.04690572364734761
1733193774798.889,-0.31060791015625,0.251953125,-0.598388671875,0.69427490234375,-0.8200000000000001,-10.39,1.01,-46.25,15.5625,6.1875,-0.02945243112740431,-0.007635815477475192,0.07417649320975901
1733193774919.313,-0.31109619140625,0.25238037109375,-0.59893798828125,0.693359375,-0.85,-9.9,0.18,-47.25,14.5,5.75,-0.07090400086226964,0.013089969389957472,-0.06872233929727672
1733193775041.32,-0.31085205078125,0.25311279296875,-0.5985107421875,0.69366455078125,-0.01,-10.05,0.91,-47.0,15.5625,6.1875,0.006544984694978736,-0.020725784867432664,-0.009817477042468103
1733193775170.146,-0.3101806640625,0.25347900390625,-0.5992431640625,0.693115234375,0.01,-9.82,0.0,-45.5,15.1875,6.1875,-0.06544984694978735,0.030543261909900768,-0.136353847812057
1733193775298.706,-0.31103515625,0.2525634765625,-0.59906005859375,0.6932373046875,-0.39,-10.21,0.96,-45.0625,15.1875,6.875,0.02399827721492203,0.03599741582238305,-0.020725784867432664
1733193775419.1548,-0.3106689453125,0.25323486328125,-0.59991455078125,0.69244384765625,-0.18,-9.82,1.29,-46.25,15.5625,6.5625,-0.038179077387375956,0.01090830782496456,-0.015271630954950384
1733193775541.855,-0.31060791015625,0.2535400390625,-0.599365234375,0.69281005859375,0.26,-9.77,1.9000000000000001,-45.5,16.0,6.5625,-0.014180800172453928,0.002181661564992912,-0.019634954084936207
1733193775664.633,-0.31072998046875,0.25347900390625,-0.5994873046875,0.69268798828125,-0.12,-9.83,1.6,-44.75,15.1875,5.75,0.017453292519943295,-0.00545415391248228,-0.008726646259971648
1733193775786.122,-0.31072998046875,0.25341796875,-0.5992431640625,0.69293212890625,-0.03,-9.96,1.68,-46.25,15.1875,6.5625,0.001090830782496456,-0.003272492347489368,-0.016362461737446838
