Time,Longitude,Latitude,Altitude
1733362844857.589,-117.234393,32.880895,59.5
1733362844980.016,-117.234393,32.880895,59.5
1733362845132.7979,-117.234398,32.880900,60.4
1733362845263.569,-117.234398,32.880900,60.4
1733362845382.078,-117.234398,32.880900,60.4
1733362845502.446,-117.234398,32.880900,60.4
1733362845623.747,-117.234398,32.880900,60.4
1733362845745.104,-117.234398,32.880900,60.4
1733362845865.748,-117.234398,32.880900,60.4
1733362845986.8728,-117.234398,32.880900,60.4
1733362846124.573,-117.234398,32.880903,61.3
1733362846253.812,-117.234398,32.880903,61.3
1733362846371.156,-117.234398,32.880903,61.3
1733362846495.358,-117.234398,32.880903,61.3
1733362846624.023,-117.234398,32.880903,61.3
1733362846744.802,-117.234398,32.880903,61.3
1733362846864.753,-117.234398,32.880903,61.3
1733362846985.6392,-117.234398,32.880903,61.3
1733362847723.694,-117.234400,32.880908,62.2
1733362852983.0078,-117.234400,32.880908,62.2
1733362853108.8518,-117.234398,32.880913,62.8
1733362853240.116,-117.234398,32.880913,62.8
1733362853369.756,-117.234391,32.880925,63.1
1733362853499.154,-117.234391,32.880925,63.1
1733362853625.672,-117.234385,32.880938,63.3
1733362853752.8738,-117.234385,32.880938,63.3
1733362853878.0579,-117.234386,32.880948,63.9
1733362854006.299,-117.234386,32.880948,63.9
1733362854133.071,-117.234388,32.880943,63.7
1733362854258.904,-117.234388,32.880943,63.7
1733362854385.695,-117.234398,32.880938,63.4
1733362854514.042,-117.234398,32.880938,63.4
1733362854642.948,-117.234403,32.880931,63.6
1733362854768.5771,-117.234403,32.880931,63.6
1733362854881.734,-117.234403,32.880931,63.6
1733362855002.367,-117.234403,32.880931,63.6
1733362855133.534,-117.234411,32.880926,63.9
1733362855261.3052,-117.234411,32.880926,63.9
1733362855377.107,-117.234411,32.880926,63.9
1733362855499.0598,-117.234411,32.880926,63.9
1733362855620.552,-117.234411,32.880926,63.9
1733362855742.411,-117.234411,32.880926,63.9
1733362855865.133,-117.234411,32.880926,63.9
1733362855982.713,-117.234411,32.880926,63.9
1733362856123.721,-117.234420,32.880921,64.1
1733362856252.313,-117.234420,32.880921,64.1
1733362856371.823,-117.234420,32.880921,64.1
1733362856492.001,-117.234420,32.880921,64.1
1733362856613.157,-117.234420,32.880921,64.1
1733362856728.667,-117.234420,32.880921,64.1
1733362856849.556,-117.234420,32.880921,64.1
1733362856969.6008,-117.234420,32.880921,64.1
1733362857123.646,-117.234428,32.880915,64.3
1733362857251.961,-117.234428,32.880915,64.3
1733362857372.797,-117.234428,32.880915,64.3
1733362857493.864,-117.234428,32.880915,64.3
1733362857615.407,-117.234428,32.880915,64.3
1733362857736.267,-117.234428,32.880915,64.3
1733362857855.825,-117.234428,32.880915,64.3
1733362858605.324,-117.234436,32.880905,64.5
1733362862085.778,-117.234436,32.880905,64.5
1733362862212.552,-117.234438,32.880891,64.5
1733362862341.1118,-117.234438,32.880891,64.5
1733362862472.076,-117.234440,32.880873,64.5
1733362862598.226,-117.234440,32.880873,64.5
1733362862725.776,-117.234441,32.880860,64.6
1733362862853.7449,-117.234441,32.880860,64.6
1733362862981.66,-117.234441,32.880865,65.1
1733362863107.2842,-117.234441,32.880865,65.1
1733362863238.516,-117.234443,32.880870,65.7
1733362863368.4248,-117.234443,32.880870,65.7
1733362863488.027,-117.234443,32.880870,65.7
1733362863608.434,-117.234443,32.880870,65.7
1733362863727.8882,-117.234443,32.880870,65.7
1733362863847.046,-117.234443,32.880870,65.7
1733362863969.269,-117.234443,32.880870,65.7
1733362864123.548,-117.234448,32.880880,66.4
1733362864254.674,-117.234448,32.880880,66.4
1733362864373.345,-117.234448,32.880880,66.4
1733362864495.1738,-117.234448,32.880880,66.4
1733362864610.1812,-117.234448,32.880880,66.4
1733362864731.106,-117.234448,32.880880,66.4
